EID,FORTARGET,PROB
Q00003,1,0.81677467
Q00006,0,0.00056257256
Q00022,0,0.01540915
Q00023,0,0.007987639
Q00027,0,0.015382282
Q00029,0,0.0892421
Q00043,0,0.001505251
Q00046,0,0.00046261924
Q00052,0,0.0008172726
Q00057,0,0.00022173287
Q00060,0,0.00019876556
Q00061,0,0.0012692581
Q00067,0,0.0027947484
Q00068,0,0.032788195
Q00069,0,0.00051569095
Q00074,0,0.00036536212
Q00079,0,1.5085321e-05
Q00080,0,0.0004322524
Q00083,0,0.0002968736
Q00088,0,0.00026239586
Q00095,0,0.00030701925
Q00106,0,2.8776654e-05
Q00107,0,0.0007463941
Q00112,0,0.0010485612
Q00113,0,8.337057e-05
Q00133,0,5.3543845e-06
Q00142,0,0.00021061159
Q00144,0,0.000104945204
Q00146,0,0.0061376933
Q00147,0,0.0012008636
Q00152,0,0.08256532
Q00154,0,0.0005715885
Q00160,0,0.0002901683
Q00164,0,0.00024921497
Q00167,0,0.00904866
Q00169,0,0.005190894
Q00170,0,0.00032634742
Q00175,0,1.2293976e-05
Q00176,0,0.000259053
Q00178,0,0.00032067136
Q00180,0,0.00027164887
Q00190,0,0.000499293
Q00192,0,1.6947173e-05
Q00194,0,0.00040946383
Q00198,0,0.00057940494
Q00206,0,0.00022144975
Q00210,0,0.012965376
Q00221,0,0.00047726728
Q00235,0,5.2003816e-05
Q00237,0,0.00057648256
Q00239,0,0.006173855
Q00247,0,0.00031156314
Q00248,0,0.00036034107
Q00259,1,0.66759974
Q00260,0,0.04217692
Q00261,0,0.0010232531
Q00272,0,0.15336917
Q00282,0,0.0005051235
Q00283,0,0.0009868438
Q00287,0,0.0004395906
Q00289,0,0.006647992
Q00297,0,0.00046163515
Q00303,0,0.01687612
Q00308,0,0.0002548941
Q00316,0,0.0023900545
Q00321,0,2.591968e-06
Q00328,0,0.0061943876
Q00332,0,0.00035183688
Q00334,0,0.013944586
Q00338,0,0.0003749239
Q00340,0,0.0005330909
Q00351,0,0.00033609621
Q00364,0,0.000892003
Q00373,0,0.0009556913
Q00376,0,0.011039586
Q00396,0,0.014206216
Q00401,0,0.003118821
Q00405,0,0.47274396
Q00413,0,0.002581692
Q00418,0,0.0004209039
Q00423,0,4.7112817e-06
Q00428,0,0.00054172904
Q00441,0,0.09351283
Q00443,0,0.0004095515
Q00444,0,0.0002311725
Q00447,0,0.018052291
Q00449,0,0.13856994
Q00454,0,0.00097078556
Q00459,0,0.00038435857
Q00462,0,4.0594626e-15
Q00482,0,0.0048997947
Q00486,0,0.00061534345
Q00491,0,0.0011962003
Q00496,1,0.80112624
Q00508,1,0.656916
Q00512,0,0.00020007201
Q00516,0,0.00067999907
Q00520,0,0.00029713608
Q00525,0,0.0003856729
Q00536,0,0.00033569624
Q00542,0,0.00019773177
Q00546,0,0.0005670608
Q00552,0,0.00017791588
Q00553,0,0.0026326515
Q00556,0,0.0003173018
Q00557,0,4.3564455e-08
Q00560,0,0.00034400861
Q00561,0,0.00053321995
Q00562,0,0.00029028175
Q00566,0,0.00032974567
Q00570,0,0.0003617476
Q00572,0,0.0003829764
Q00591,0,0.0018328844
Q00592,0,0.0006015699
Q00599,0,3.9477808e-07
Q00600,0,0.0022269632
Q00615,0,0.0023550224
Q00618,0,0.043875244
Q00635,0,0.028517855
Q00637,0,0.00024947646
Q00639,1,0.5020993
Q00640,0,0.00051233283
Q00651,0,0.0012745946
Q00653,0,0.004479851
Q00659,0,0.00022399868
Q00670,0,0.0002616427
Q00671,0,0.0006962448
Q00681,0,0.00050169404
Q00684,0,0.0011970117
Q00685,0,0.0006631125
Q00699,0,0.20462781
Q00701,0,0.004028977
Q00706,0,0.00047538528
Q00712,0,0.00069567445
Q00714,0,0.00038356427
Q00717,0,0.00054027233
Q00728,0,0.0017048254
Q00731,0,0.30571204
Q00740,0,0.0019724034
Q00745,0,0.0007817381
Q00766,0,0.46265948
Q00785,0,0.0009249384
Q00793,0,0.0009462202
Q00798,0,0.001929058
Q00799,0,0.0013942489
Q00807,0,0.00015202665
Q00816,0,0.0005433787
Q00819,0,0.0011678939
Q00820,0,0.0002227062
Q00835,0,0.0020953643
Q00841,0,0.00032497232
Q00855,0,0.005494464
Q00857,0,6.404338e-06
Q00860,0,0.0002039883
Q00861,0,0.0032708817
Q00866,0,1.3424288e-05
Q00869,0,0.037088614
Q00870,0,0.00027532218
Q00878,0,0.00062369497
Q00879,0,0.0006647247
Q00882,0,1.7199396e-05
Q00883,0,0.0012943483
Q00890,0,0.00024368527
Q00892,0,0.000370454
Q00901,1,0.6589173
Q00902,0,0.00036536212
Q00904,0,0.0045999754
Q00908,0,0.0026441365
Q00909,0,0.00063564756
Q00916,0,0.00035480704
Q00917,0,0.009377256
Q00922,0,0.006083539
Q00930,0,0.00045988132
Q00936,0,0.0008644756
Q00938,0,0.0005362664
Q00946,0,5.186108e-07
Q00957,0,0.0012175879
Q00959,0,0.00047073935
Q00965,0,0.00027123062
Q00969,0,4.7763424e-05
Q00970,0,0.0007412918
Q00971,0,0.0003288845
Q00982,0,0.016863624
Q00983,0,3.5450913e-07
Q01003,0,0.007098666
Q01005,0,0.08983319
Q01014,0,0.00041381578
Q01017,0,0.00044215817
Q01019,0,0.0054586977
Q01022,0,0.0037112318
Q01028,0,0.0008652148
Q01037,0,0.0047246073
Q01041,0,0.00055108336
Q01043,0,0.00023215874
Q01045,0,0.001587154
Q01051,0,0.0007658927
Q01052,0,0.0005724069
Q01056,0,5.4649074e-05
Q01057,0,8.128654e-06
Q01064,0,0.0026619113
Q01071,0,0.0005070169
Q01072,0,0.00055786414
Q01075,0,0.0004746174
Q01076,0,2.6314543e-08
Q01080,0,0.0053048003
Q01081,0,6.269741e-05
Q01089,0,0.00029015198
Q01090,0,0.0003894481
Q01092,0,0.00044644193
Q01096,0,0.00087274786
Q01099,0,0.0002670089
Q01113,0,0.001045236
Q01130,0,0.0048024454
Q01137,0,0.0002581078
Q01138,1,0.5645483
Q01146,0,0.00025214418
Q01151,0,0.001368162
Q01160,0,0.00027215952
Q01161,0,2.2030129e-06
Q01168,0,7.5471826e-06
Q01171,0,0.00051551027
Q01172,0,3.1116014e-07
Q01196,0,0.047636244
Q01206,0,0.0005340098
Q01207,0,0.0005248374
Q01218,0,0.00012362424
Q01219,0,0.00030357888
Q01223,0,0.00032826865
Q01225,0,0.0005383696
Q01226,0,0.010923549
Q01229,0,0.0014058513
Q01234,0,1.3059981e-08
Q01235,0,5.523727e-08
Q01236,0,0.0043649487
Q01237,0,0.00070711377
Q01243,0,0.3037349
Q01245,0,0.000845243
Q01250,0,3.395315e-05
Q01251,0,0.02354855
Q01263,1,0.6496125
Q01266,0,0.00033260428
Q01267,0,0.028414166
Q01269,0,0.28497595
Q01281,0,0.0037448637
Q01284,0,0.0013288935
Q01294,0,0.00041972953
Q01295,0,1.6904125e-05
Q01298,0,0.000178398
Q01301,0,0.00038775976
Q01302,0,8.378796e-05
Q01309,0,0.0008652148
Q01313,0,1.8252014e-07
Q01325,0,0.0008144198
Q01330,0,0.00021990997
Q01334,0,0.00037620208
Q01354,0,0.00076952577
Q01355,0,0.00035353578
Q01357,0,0.0016499049
Q01360,0,0.00024193648
Q01362,0,0.001684731
Q01364,0,0.00044495153
Q01374,0,0.0009104616
Q01376,0,0.00052374497
Q01379,0,0.0004360676
Q01385,0,0.0009149405
Q01387,0,1.1413516e-06
Q01409,0,0.00030537517
Q01416,0,0.0015864967
Q01425,0,0.00050777907
Q01426,0,0.0002581078
Q01432,0,0.00030802368
Q01433,0,6.606247e-06
Q01436,0,0.00027455125
Q01437,0,0.0005331773
Q01438,0,0.15924273
Q01440,0,0.21073453
Q01446,0,0.0006777081
Q01453,0,0.054861136
Q01472,0,1.3297636e-05
Q01474,0,1.0424628e-07
Q01476,0,0.002560738
Q01477,0,0.005740792
Q01500,0,0.0015866024
Q01503,0,0.00035981092
Q01512,0,0.0009499956
Q01516,0,0.00047726728
Q01519,0,0.00022436201
Q01520,1,0.8561413
Q01525,0,1.17986865e-08
Q01530,0,0.0003660748
Q01532,0,0.00043188277
Q01533,0,0.00014217512
Q01539,0,0.0019126394
Q01540,0,0.00024243779
Q01542,0,0.00029589757
Q01543,0,0.0025204292
Q01547,0,0.017940383
Q01549,0,0.019151868
Q01553,1,0.60589457
Q01557,1,0.98031235
Q01560,0,0.00027796367
Q01561,0,1.3805473e-05
Q01568,1,0.6913457
Q01569,0,0.00021829158
Q01601,0,0.0007903105
Q01606,0,0.00036094943
Q01608,0,0.0004803412
Q01612,0,0.0003049329
Q01613,0,0.0055496227
Q01621,0,0.002514076
Q01623,0,0.000190054
Q01630,0,0.0008176803
Q01631,0,0.00019059097
Q01638,0,0.00015949027
Q01644,0,0.019170599
Q01647,0,0.000442605
Q01651,0,0.0004403669
Q01660,0,0.004610644
Q01668,0,0.0024173432
Q01673,0,4.3236745e-05
Q01679,0,0.0017795634
Q01686,0,0.0003049329
Q01691,0,0.0064683417
Q01692,0,0.00035567163
Q01695,0,0.0016442388
Q01702,0,0.027462436
Q01709,0,0.0066334093
Q01714,0,0.0005410964
Q01728,0,0.0025315073
Q01735,0,0.0002699289
Q01740,0,0.00051829807
Q01750,0,0.0021362244
Q01753,0,0.01566007
Q01754,0,0.00037316312
Q01758,0,0.05956125
Q01761,0,0.0001080201
Q01771,0,0.0013549699
Q01774,0,0.0033627893
Q01780,0,0.0003574777
Q01786,0,7.854563e-07
Q01799,0,6.4496675e-08
Q01811,0,0.00080623996
Q01822,0,0.0005485394
Q01829,0,0.0009899155
Q01832,0,0.00027560815
Q01833,0,4.559893e-05
Q01844,0,0.0010268737
Q01853,0,0.0006183299
Q01859,0,0.00025676767
Q01863,0,0.0036256658
Q01866,0,1.4060846e-07
Q01870,0,0.00027698456
Q01884,1,0.82403123
Q01891,0,0.00021543034
Q01892,0,0.0074947453
Q01899,0,0.000780543
Q01900,0,0.07646838
Q01903,0,0.00022658815
Q01904,0,0.00025570442
Q01914,0,0.00029076758
Q01916,0,0.012503193
Q01926,0,0.00040251442
Q01927,0,0.0008663449
Q01930,0,0.00079400226
Q01933,0,0.0018329229
Q01935,0,0.00026462664
Q01938,0,0.0007097434
Q01940,0,0.00058359106
Q01947,0,1.6963795e-05
Q01949,0,0.006322454
Q01951,0,0.00032261576
Q01952,0,9.093439e-09
Q01962,0,0.0008683453
Q01966,0,0.00080305146
Q01970,0,0.00011092011
Q01974,0,3.478542e-10
Q01981,0,9.088989e-05
Q01988,0,0.00061730156
Q01989,0,0.0031451688
Q02000,0,4.7763744e-05
Q02012,0,0.000501558
Q02015,0,0.00034913406
Q02017,0,0.00041107065
Q02018,0,0.00038846754
Q02019,1,0.54035085
Q02024,0,0.0010945852
Q02025,0,0.00052061526
Q02028,0,0.00079143123
Q02029,0,1.01852465e-05
Q02032,0,0.4751622
Q02033,0,0.0015990357
Q02038,0,0.00079165754
Q02041,0,1.6195138e-08
Q02045,0,0.00030099088
Q02049,0,0.018433636
Q02050,0,0.00016506575
Q02057,0,0.00085167435
Q02058,0,0.00034162868
Q02059,0,0.0010657092
Q02064,0,0.0005966281
Q02067,0,0.0010886
Q02068,0,0.00052537944
Q02071,0,0.0007995132
Q02084,0,0.0005299114
Q02097,0,0.00039948
Q02100,0,0.00079165754
Q02103,0,0.0026695076
Q02106,0,0.00038309398
Q02107,0,0.0015352082
Q02108,0,0.0012996756
Q02115,0,0.0028350304
Q02119,0,0.03367926
Q02121,0,0.00020541603
Q02126,0,0.017135791
Q02128,0,0.00022395297
Q02129,0,5.186108e-07
Q02132,0,0.0006820455
Q02140,0,0.001155969
Q02148,0,0.000766856
Q02161,0,0.0010224223
Q02165,0,9.905804e-05
Q02171,0,0.00050952524
Q02176,0,0.00072755653
Q02177,0,0.0018945084
Q02193,0,0.00082271476
Q02201,0,0.0005453666
Q02205,0,0.00071752735
Q02206,0,0.00870034
Q02218,0,4.339197e-07
Q02220,0,0.009286921
Q02222,0,0.0003574777
Q02225,0,0.0009828835
Q02231,0,4.8177975e-07
Q02235,0,0.00093557255
Q02242,0,0.062195256
Q02243,1,0.5407188
Q02244,0,0.00042722136
Q02252,0,0.00058005383
Q02254,1,0.7097688
Q02258,1,0.7046303
Q02264,0,0.0036767619
Q02269,0,0.0013322142
Q02272,0,0.0014245394
Q02283,0,0.000104661674
Q02284,0,0.00035235845
Q02289,0,0.000364621
Q02292,0,0.0010126479
Q02304,0,0.0007366092
Q02315,0,0.0009354211
Q02317,0,0.00050001877
Q02318,0,0.020681933
Q02333,0,0.00015381108
Q02335,0,7.932695e-06
Q02336,0,0.003736359
Q02340,0,0.017099408
Q02354,0,0.0003108484
Q02357,0,8.144908e-05
Q02380,0,0.0002977106
Q02381,0,9.71632e-05
Q02382,0,2.7209304e-09
Q02388,0,0.015558087
Q02396,0,0.0031666565
Q02397,0,0.013242673
Q02401,0,0.0018465971
Q02406,0,0.00043465616
Q02414,0,0.0001596625
Q02420,0,0.00027292687
Q02426,0,0.00025377382
Q02427,0,6.894281e-07
Q02439,0,6.3867985e-05
Q02447,0,0.0010495905
Q02453,0,0.0002551076
Q02455,0,0.0009785775
Q02457,0,0.0006222068
Q02459,0,7.1741006e-06
Q02460,0,0.00017704658
Q02461,0,0.0018461997
Q02462,0,0.0005650796
Q02469,0,1.0745575e-05
Q02470,0,4.40206e-07
Q02474,0,0.0004030704
Q02479,0,0.0002591706
Q02483,1,0.7135822
Q02484,0,0.18532334
Q02487,1,0.8012598
Q02491,0,0.055403594
Q02492,0,0.2287635
Q02503,0,0.0014200825
Q02505,0,0.00036216376
Q02510,0,0.002332022
Q02513,0,0.0004219826
Q02514,0,0.022345528
Q02524,0,6.606247e-06
Q02527,0,4.0928533e-08
Q02536,0,0.00034854643
Q02538,0,0.0003108484
Q02544,1,0.9924361
Q02553,0,7.52142e-05
Q02554,0,0.00073286955
Q02560,0,0.00028202307
Q02564,0,0.00033001552
Q02576,0,0.0002977106
Q02588,0,1.359155e-06
Q02590,0,0.00014520176
Q02597,0,0.0010766381
Q02599,0,0.0005063783
Q02607,0,0.0011390282
Q02612,0,0.0005922941
Q02619,0,0.00064848823
Q02635,0,2.1508752e-07
Q02637,0,0.0004710024
Q02638,0,0.0005675569
Q02640,0,0.001551428
Q02644,0,0.0007593789
Q02649,0,0.00039778458
Q02658,0,0.00073033245
Q02664,0,0.0068224524
Q02670,0,8.3481245e-06
Q02671,0,0.008767553
Q02675,0,0.0006971007
Q02676,0,6.92623e-06
Q02683,0,0.0020624325
Q02685,0,0.009294018
Q02687,0,0.0169116
Q02690,0,0.00032258252
Q02696,0,0.0003975558
Q02701,0,0.000316104
Q02709,0,0.015999077
Q02712,0,0.0011303503
Q02723,0,2.991992e-08
Q02724,0,0.006517511
Q02738,1,0.6523625
Q02739,0,1.6851925e-05
Q02748,0,0.00039548866
Q02750,0,0.00029794738
Q02754,0,0.00026234335
Q02766,0,0.001454157
Q02769,0,0.08725705
Q02774,0,0.00017988782
Q02776,0,0.000370454
Q02777,0,0.0001362973
Q02780,0,0.00032737546
Q02784,0,0.00064115634
Q02786,0,0.0055671073
Q02793,0,0.00010118067
Q02796,0,0.0004323565
Q02809,0,0.0002752518
Q02810,0,3.544967e-05
Q02812,0,0.003704098
Q02832,0,0.00017937484
Q02833,0,0.0006726803
Q02836,1,0.588935
Q02838,0,0.0025797263
Q02840,0,0.0003591118
Q02842,0,0.0007552228
Q02845,0,0.00017751801
Q02847,0,0.0007771505
Q02850,0,0.00031693807
Q02851,0,4.739532e-05
Q02861,0,6.606247e-06
Q02867,0,0.0050587123
Q02870,0,0.0013434957
Q02872,0,0.0005330975
Q02873,0,0.0008549201
Q02879,0,0.00034000413
Q02882,0,0.00047044063
Q02891,0,0.088941805
Q02893,0,0.000364621
Q02896,0,5.091381e-05
Q02914,0,0.00011077563
Q02922,0,1.5215979e-05
Q02925,0,0.4408469
Q02929,0,0.0007131301
Q02934,0,0.00017174488
Q02937,0,0.0003375872
Q02940,1,0.76677465
Q02945,0,0.00030126912
Q02948,0,0.00042526712
Q02954,0,0.00065750105
Q02963,0,0.00083337084
Q02964,0,0.018262483
Q02967,0,1.1728121e-06
Q02968,0,3.8865306e-05
Q02971,0,0.0013591307
Q02978,0,0.0069845836
Q02986,0,1.7725783e-05
Q02989,0,8.5099735e-08
Q02999,0,0.0006291344
Q03007,0,0.0011716881
Q03011,0,8.0810205e-05
Q03015,0,0.024117755
Q03018,0,2.6532813e-05
Q03021,0,0.0017997829
Q03033,0,0.00071150414
Q03035,0,2.3887932e-08
Q03041,0,0.00023546694
Q03042,0,4.927967e-05
Q03045,0,0.0014172217
Q03053,0,0.00055108336
Q03056,0,0.0012328664
Q03061,0,0.0011647319
Q03062,0,6.5437066e-06
Q03066,0,0.00032821484
Q03073,0,0.0011143385
Q03087,0,0.00033342847
Q03089,0,0.0004403669
Q03090,0,0.00057940494
Q03091,0,0.00014811644
Q03094,0,0.000328698
Q03102,0,0.0336985
Q03104,0,0.088542715
Q03113,0,0.0017017898
Q03122,0,0.00087460765
Q03128,0,9.426469e-06
Q03136,0,3.0674354e-07
Q03138,0,0.0011865372
Q03141,0,2.523576e-10
Q03147,0,0.00020545463
Q03153,0,0.0010309131
Q03159,0,9.533315e-05
Q03160,0,0.0012739046
Q03168,0,0.001456262
Q03179,0,9.895664e-05
Q03184,0,0.00035193146
Q03188,0,0.0001967786
Q03193,0,0.0012063984
Q03196,0,0.0007583397
Q03197,0,0.00031189006
Q03202,0,0.0121192
Q03207,0,0.00063694984
Q03208,0,0.00031157117
Q03218,1,0.8858968
Q03229,1,0.99231863
Q03237,0,0.0003574777
Q03239,0,0.00023951735
Q03245,0,3.9132145e-05
Q03252,0,0.0002456375
Q03256,0,0.0006716211
Q03259,0,0.0008825655
Q03263,0,0.00092645764
Q03268,1,0.73298305
Q03281,0,0.0011343522
Q03284,0,0.0013118777
Q03293,0,0.00022378773
Q03294,0,0.012241678
Q03296,0,0.0002809059
Q03301,0,0.0025389388
Q03302,0,0.0002660461
Q03303,0,0.0012787568
Q03313,0,0.00037906552
Q03315,0,0.00021904925
Q03318,0,0.0008401829
Q03321,0,0.00037942812
Q03323,0,0.0011774455
Q03324,0,1.777206e-05
Q03325,0,0.0018353201
Q03328,0,0.00041893843
Q03332,0,0.00057052716
Q03334,0,0.00043511423
Q03337,0,0.0007822769
Q03339,0,0.00035905532
Q03340,0,0.00028551876
Q03347,0,0.00035328142
Q03353,0,0.0016100385
