,小微企业ID,注册资金(万元),企业(机构)类型,行业门类代码,从业人数,投资总额(万元)
0,Q00009,1.0,0,0,32.0,0.0
1,Q00010,1.0,1,1,9.0,0.0
2,Q00011,0.0,0,2,25.0,0.0
3,Q00013,1.0,0,3,12.0,0.0
4,Q00015,0.0,2,4,4.0,0.0
5,Q00016,0.0,0,0,30.0,0.0
6,Q00017,2.0,0,5,14.0,0.0
7,Q00019,0.0,0,4,3.0,0.0
8,Q00020,6.0,0,6,7.0,0.0
9,Q00021,0.0,1,4,3.0,0.0
10,Q00025,1.0,0,0,13.0,0.0
11,Q00028,1.0,0,4,15.0,0.0
12,Q00030,1.0,2,0,6.0,0.0
13,Q00037,0.0,1,4,8.0,0.0
14,Q00038,1.0,0,4,6.0,0.0
15,Q00047,0.0,0,3,4.0,0.0
16,Q00049,0.0,0,7,4.0,0.0
17,Q00051,0.0,0,4,3.0,0.0
18,Q00056,0.0,2,4,4.0,0.0
19,Q00058,0.0,0,4,3.0,0.0
20,Q00059,0.0,2,0,19.0,0.0
21,Q00064,3.0,3,4,0.0,5.0
22,Q00065,0.0,0,3,13.0,0.0
23,Q00075,4.0,0,8,0.0,0.0
24,Q00077,0.0,4,0,0.0,0.0
25,Q00078,0.0,1,4,7.0,0.0
26,Q00085,2.0,0,4,10.0,0.0
27,Q00094,0.0,2,0,9.0,0.0
28,Q00098,0.0,2,0,3.0,0.0
29,Q00101,6.0,5,6,0.0,0.0
30,Q00103,1.0,0,1,16.0,0.0
31,Q00116,0.0,0,4,3.0,0.0
32,Q00118,0.0,2,0,35.0,0.0
33,Q00124,0.0,6,4,0.0,0.0
34,Q00126,3.0,0,3,15.0,0.0
35,Q00127,0.0,0,4,5.0,0.0
36,Q00130,0.0,0,0,5.0,0.0
37,Q00132,1.0,0,0,14.0,0.0
38,Q00136,1.0,0,4,9.0,0.0
39,Q00137,4.0,0,1,4.0,0.0
40,Q00139,0.0,1,6,10.0,0.0
41,Q00149,0.0,2,0,96.0,0.0
42,Q00155,0.0,0,6,17.0,0.0
43,Q00156,0.0,1,0,4.0,0.0
44,Q00161,0.0,1,4,5.0,0.0
45,Q00162,4.0,0,1,0.0,0.0
46,Q00163,0.0,0,0,12.0,0.0
47,Q00165,0.0,0,0,5.0,0.0
48,Q00179,1.0,7,0,0.0,1.0
49,Q00184,0.0,8,4,0.0,0.0
50,Q00185,0.0,9,0,0.0,0.0
51,Q00186,0.0,0,0,10.0,0.0
52,Q00191,1.0,0,0,35.0,0.0
53,Q00193,0.0,2,3,2.0,0.0
54,Q00203,1.0,0,0,5.0,0.0
55,Q00204,0.0,0,0,13.0,0.0
56,Q00207,0.0,1,0,7.0,0.0
57,Q00208,0.0,0,0,20.0,0.0
58,Q00212,0.0,1,5,7.0,0.0
59,Q00214,0.0,1,4,10.0,0.0
60,Q00216,0.0,0,4,7.0,0.0
61,Q00219,1.0,0,0,16.0,0.0
62,Q00228,0.0,0,2,7.0,0.0
63,Q00229,0.0,0,0,10.0,0.0
64,Q00230,0.0,10,0,0.0,0.0
65,Q00236,1.0,4,0,0.0,1.0
66,Q00241,1.0,0,4,10.0,0.0
67,Q00245,0.0,1,0,9.0,0.0
68,Q00246,0.0,1,0,10.0,0.0
69,Q00250,0.0,0,0,8.0,0.0
70,Q00255,0.0,0,0,6.0,0.0
71,Q00256,0.0,0,4,4.0,0.0
72,Q00257,0.0,0,0,42.0,0.0
