,小微企业ID,行政处罚次数,处罚机关_工商,处罚机关_市场,处罚机关_建设,处罚机关_文化,处罚机关_未知,处罚机关_法院,处罚机关_税务,处罚机关_管理科,处罚机关_经检,处罚机关_邮政
0,Q00010,1,0,0,0,0,0,1,0,0,0,0
1,Q00015,1,0,0,0,0,0,0,1,0,0,0
2,Q00016,1,0,0,0,0,0,0,0,1,0,0
3,Q00059,1,1,0,0,0,0,0,0,0,0,0
4,Q00137,1,0,0,0,0,0,0,1,0,0,0
5,Q00165,1,0,0,0,0,1,0,0,0,0,0
6,Q00179,1,0,0,0,0,0,0,1,0,0,0
7,Q00191,1,0,0,0,0,0,0,0,0,1,0
8,Q00214,1,0,1,0,0,0,0,0,0,0,0
9,Q00245,1,0,0,0,0,0,0,0,0,1,0
10,Q00319,1,0,0,0,0,0,0,0,0,1,0
11,Q00337,1,0,0,0,0,0,1,0,0,0,0
12,Q00372,1,0,1,0,0,0,0,0,0,0,0
13,Q00389,1,0,1,0,0,0,0,0,0,0,0
14,Q00398,1,1,0,0,0,0,0,0,0,0,0
15,Q00403,1,0,1,0,0,0,0,0,0,0,0
16,Q00422,1,1,0,0,0,0,0,0,0,0,0
17,Q00435,1,1,0,0,0,0,0,0,0,0,0
18,Q00446,5,0,0,0,0,2,0,0,3,0,0
19,Q00468,2,0,1,0,0,1,0,0,0,0,0
20,Q00487,1,1,0,0,0,0,0,0,0,0,0
21,Q00505,1,1,0,0,0,0,0,0,0,0,0
22,Q00507,1,0,0,0,0,1,0,0,0,0,0
23,Q00563,1,1,0,0,0,0,0,0,0,0,0
24,Q00568,1,1,0,0,0,0,0,0,0,0,0
25,Q00576,1,1,0,0,0,0,0,0,0,0,0
26,Q00578,1,0,0,0,0,0,0,0,0,1,0
27,Q00590,1,1,0,0,0,0,0,0,0,0,0
28,Q00596,1,1,0,0,0,0,0,0,0,0,0
29,Q00602,1,0,0,0,0,0,0,0,1,0,0
30,Q00611,2,0,0,0,0,0,1,0,0,1,0
31,Q00620,1,1,0,0,0,0,0,0,0,0,0
32,Q00621,1,0,1,0,0,0,0,0,0,0,0
33,Q00634,1,0,0,0,0,0,1,0,0,0,0
34,Q00668,1,1,0,0,0,0,0,0,0,0,0
35,Q00696,1,0,0,0,0,1,0,0,0,0,0
36,Q00756,1,0,0,0,0,0,1,0,0,0,0
37,Q00810,1,0,0,0,0,0,0,0,0,1,0
38,Q00827,1,1,0,0,0,0,0,0,0,0,0
39,Q00973,2,0,0,0,0,0,0,0,2,0,0
40,Q00985,1,0,0,0,0,0,0,0,0,1,0
41,Q01002,1,1,0,0,0,0,0,0,0,0,0
42,Q01126,1,0,0,0,0,0,0,0,0,1,0
43,Q01136,3,0,0,0,0,0,0,0,0,0,3
44,Q01188,1,0,0,0,0,1,0,0,0,0,0
45,Q01200,1,1,0,0,0,0,0,0,0,0,0
46,Q01258,1,0,0,0,0,0,0,0,0,1,0
47,Q01265,1,1,0,0,0,0,0,0,0,0,0
