,小微企业ID,欠税税务机关,所欠税种,欠税余额(元)
0,Q00010,3,3,2.0
1,Q00016,10,15,5.0
2,Q00019,6,5,2.0
3,Q00021,2,1,1.0
4,Q00037,3,5,2.0
5,Q00038,2,1,1.0
6,Q00047,2,1,1.0
7,Q00049,3,1,1.0
8,Q00051,6,15,3.0
9,Q00132,3,3,1.0
10,Q00161,4,4,3.0
11,Q00184,1,5,1.0
12,Q00193,1,3,1.0
13,Q00208,1,4,1.0
14,Q00229,2,8,2.0
15,Q00255,6,14,6.0
16,Q00285,3,1,1.0
17,Q00288,4,10,3.0
18,Q00291,2,3,1.0
19,Q00292,2,1,1.0
20,Q00295,3,3,1.0
21,Q00330,4,10,2.0
22,Q00341,1,3,1.0
23,Q00365,1,4,1.0
24,Q00371,3,7,1.0
25,Q00489,1,3,1.0
26,Q00505,4,4,5.0
27,Q00519,5,6,3.0
28,Q00521,5,5,2.0
29,Q00526,3,5,1.0
30,Q00527,6,14,5.0
31,Q00528,3,5,2.0
32,Q00529,3,5,2.0
33,Q00530,2,1,1.0
34,Q00531,2,1,1.0
35,Q00534,5,2,2.0
36,Q00535,1,5,1.0
37,Q00538,8,14,5.0
38,Q00573,1,5,1.0
39,Q00588,6,15,7.0
40,Q00633,1,4,1.0
41,Q00638,1,4,1.0
42,Q00668,3,3,1.0
43,Q00672,1,4,1.0
44,Q00707,1,3,1.0
45,Q00727,3,5,1.0
46,Q00732,1,3,2.0
47,Q00756,18,49,46.0
48,Q00761,6,15,8.0
49,Q00767,1,4,1.0
50,Q00778,4,10,2.0
51,Q00779,8,8,3.0
52,Q00782,4,8,2.0
53,Q00786,3,5,1.0
54,Q00787,3,3,1.0
55,Q00788,2,1,1.0
56,Q00789,18,32,9.0
57,Q00790,2,1,1.0
58,Q00797,2,3,8.0
59,Q00800,1,5,1.0
60,Q00852,4,8,2.0
61,Q00865,1,3,1.0
62,Q00887,3,3,1.0
63,Q00888,2,8,2.0
64,Q00889,1,3,1.0
65,Q00910,1,4,1.0
66,Q00947,4,10,2.0
67,Q00948,3,4,1.0
68,Q01002,5,6,22.0
69,Q01018,18,35,15.0
70,Q01020,1,5,1.0
71,Q01021,3,1,1.0
72,Q01026,3,10,2.0
73,Q01032,3,5,1.0
74,Q01038,5,6,2.0
75,Q01042,5,2,2.0
76,Q01047,1,5,1.0
77,Q01074,1,5,1.0
78,Q01077,1,5,1.0
79,Q01106,1,5,1.0
80,Q01131,1,3,1.0
81,Q01194,2,3,1.0
82,Q01212,1,5,1.0
83,Q01215,1,5,1.0
84,Q01239,2,1,1.0
85,Q01259,1,5,1.0
86,Q01268,9,11,5.0
87,Q01274,2,1,1.0
88,Q01280,3,5,1.0
89,Q01287,6,9,3.0
90,Q01288,1,5,1.0
91,Q01375,4,8,2.0
92,Q01383,3,8,1.0
93,Q01448,1,5,1.0
94,Q01450,1,4,1.0
95,Q01467,3,8,1.0
96,Q01518,2,1,1.0
97,Q01528,2,1,1.0
98,Q01529,19,30,10.0
99,Q01536,3,1,1.0
100,Q01538,2,1,1.0
101,Q01546,3,3,1.0
102,Q01588,1,5,1.0
103,Q01590,1,5,1.0
104,Q01610,1,3,1.0
105,Q01620,1,3,1.0
106,Q01646,8,14,4.0
107,Q01664,1,7,1.0
108,Q01693,1,3,1.0
109,Q01694,3,10,2.0
110,Q01726,3,3,1.0
111,Q01727,13,20,6.0
112,Q01738,3,1,1.0
113,Q01747,3,14,3.0
114,Q01777,14,22,7.0
115,Q01778,8,13,6.0
116,Q01779,3,5,2.0
117,Q01781,6,15,3.0
118,Q01784,2,1,4.0
119,Q01788,12,27,6.0
120,Q01790,2,3,1.0
121,Q01798,1,5,1.0
122,Q01800,7,11,3.0
123,Q01814,4,8,2.0
124,Q01815,2,12,2.0
125,Q01835,1,5,1.0
126,Q01848,1,4,1.0
