,小微企业ID,主管税务机关数字_1,主管税务机关数字_2,主管税务机关数字_3
0,Q00056,1,0,1
1,Q00139,1,0,0
2,Q00212,0,0,1
3,Q00255,2,0,1
4,Q00301,0,1,0
5,Q00302,0,0,1
6,Q00304,0,0,1
7,Q00356,2,0,0
8,Q00497,1,0,1
9,Q00545,1,0,1
10,Q00689,0,0,1
11,Q00756,1,0,0
12,Q00787,1,0,0
13,Q00802,1,1,0
14,Q00898,1,0,0
15,Q00945,0,0,1
16,Q01016,1,0,0
17,Q01018,1,0,0
18,Q01023,1,0,0
19,Q01136,1,0,0
20,Q01169,1,0,0
21,Q01192,0,0,1
22,Q01259,0,0,1
23,Q01548,0,0,1
24,Q01552,1,0,0
25,Q01629,1,0,0
26,Q01727,0,0,1
27,Q01760,1,0,0
28,Q01803,0,0,1
29,Q01834,1,0,0
30,Q01987,1,0,2
31,Q02003,0,0,1
32,Q02022,1,0,0
33,Q02034,0,0,1
34,Q02040,1,1,0
35,Q02184,1,0,0
36,Q02268,1,0,0
37,Q02293,1,0,0
38,Q02316,1,0,0
39,Q02398,1,0,0
40,Q02415,1,0,0
41,Q02485,0,0,1
42,Q02498,1,0,0
43,Q02521,0,1,0
44,Q02621,1,0,1
45,Q02630,1,0,0
46,Q02632,1,0,0
47,Q02656,2,0,0
48,Q02662,4,0,0
49,Q02770,1,0,1
50,Q02771,1,0,1
51,Q02775,1,0,0
52,Q02824,0,1,0
53,Q02839,0,0,1
54,Q03006,1,0,1
55,Q03183,1,0,0
56,Q03240,1,0,1
57,Q03241,1,0,1
58,Q03333,2,1,0
59,Q03359,2,0,0
60,Q03360,0,1,0
61,Q03362,1,0,0
62,Q03743,2,0,0
63,Q03746,1,0,0
64,Q03747,0,0,1
65,Q03748,0,1,0
66,Q03749,0,0,1
67,Q03774,1,0,0
68,Q03802,1,0,0
69,Q03972,1,0,0
70,Q04007,0,0,1
71,Q04016,1,0,0
72,Q04167,1,0,0
73,Q04243,1,0,1
74,Q04248,0,0,1
75,Q04415,1,0,0
76,Q04459,1,0,0
77,Q04495,0,0,1
78,Q04496,1,0,1
79,Q04536,1,0,0
80,Q04743,0,1,0
81,Q04785,0,0,1
82,Q04871,1,0,0
83,Q04889,1,0,0
84,Q04954,1,1,0
85,Q04972,1,0,0
86,Q05238,0,0,1
87,Q05272,0,0,2
88,Q05300,1,0,0
89,Q05340,1,0,0
90,Q05442,1,0,0
91,Q05483,1,0,0
92,Q05496,0,1,1
93,Q05620,1,0,0
94,Q05744,0,0,1
95,Q05751,0,0,1
96,Q05753,0,1,0
97,Q05952,0,0,1
98,Q06093,0,0,1
99,Q06214,1,0,0
100,Q06221,4,0,0
101,Q06243,0,0,1
102,Q06386,1,0,0
103,Q06462,1,0,0
104,Q06495,0,0,1
105,Q06496,0,0,1
106,Q06695,0,1,0
107,Q06707,0,0,1
108,Q06714,2,0,0
109,Q06732,1,0,1
110,Q06980,1,0,1
111,Q07038,1,0,0
112,Q07195,1,0,0
113,Q07198,1,0,0
114,Q07205,1,0,0
115,Q07207,1,0,1
116,Q07240,0,0,1
117,Q07437,0,0,1
118,Q07456,1,0,0
119,Q07922,1,0,0
120,Q07966,0,1,1
121,Q08085,1,0,0
122,Q08173,1,0,0
123,Q08211,1,0,1
124,Q08212,1,0,1
125,Q08433,1,0,0
126,Q08437,1,0,0
127,Q08438,1,0,0
128,Q08458,0,1,0
129,Q08596,0,1,0
130,Q08615,1,0,0
131,Q08620,2,0,0
132,Q08670,0,1,0
133,Q08700,0,0,1
134,Q08701,0,1,0
135,Q08771,1,0,0
136,Q08827,2,0,0
137,Q08832,1,0,0
138,Q08946,0,1,0
