小微企业ID,诉讼地位,审理机关,涉案事由,涉案金额(元),文书类型,审理程序,结案时间
Q00009,被执行人,江苏省常熟市人民法院,执行实施类案件,0,执行裁定书,执行程序,2017年7月
Q00009,被执行人,江苏省南通市中级人民法院,执行实施类案件,0,执行裁定书,执行程序,2017年2月
Q00009,被告,江苏省常熟市人民法院,债权转让合同纠纷,9505000,民事判决书,一审,2016年9月
Q00009,上诉人(原审被告),江苏省高级人民法院,民间借贷纠纷,0,民事判决书,二审,2016年8月
Q00009,被执行人,江苏省常熟市人民法院,金融借款合同纠纷,0,执行裁定书,执行程序,2016年4月
Q00009,被告,江苏省常熟市人民法院,追偿权纠纷,241000,民事判决书,一审,2016年3月
Q00009,被执行人,江苏省常熟市人民法院,金融借款合同纠纷,0,执行裁定书,执行程序,2015年12月
Q00009,上诉人,江苏省高级人民法院,民间借贷纠纷,0,民事裁定书,二审,2014年8月
Q00009,被告,江苏省常熟市人民法院,买卖合同纠纷,0,民事裁定书,一审,2014年6月
Q00010,一审被告,江苏省高级人民法院,金融借款合同纠纷,0,民事裁定书,再审程序,2018年2月
Q00010,被执行人,江苏省苏州市虎丘区人民法院,执行实施类案件,0,执行裁定书,执行程序,2017年8月
Q00010,被执行人,江苏省苏州工业园区人民法院,执行实施类案件,0,执行裁定书,执行程序,2017年6月
Q00010,被申请人,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,0,民事裁定书,破产程序,2017年5月
Q00010,被执行人,江苏省苏州工业园区人民法院,担保追偿权纠纷,0,执行裁定书,执行程序,2017年3月
Q00010,被执行人,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,0,执行裁定书,执行程序,2017年2月
Q00010,被告,江苏省苏州市吴中区人民法院,借款合同纠纷,3000000,民事判决书,一审,2017年1月
Q00010,被执行人,江苏省苏州工业园区人民法院,担保追偿权纠纷,0,执行裁定书,执行程序,2016年12月
Q00010,被执行人,江苏省苏州市虎丘区人民法院,保证合同纠纷,0,执行裁定书,执行程序,2016年11月
Q00010,被执行人,江苏省苏州工业园区人民法院,金融借款合同纠纷,0,执行裁定书,执行程序,2016年11月
Q00010,被执行人,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,0,执行裁定书,执行程序,2016年9月
Q00010,被告,江苏省苏州工业园区人民法院,担保追偿权纠纷,287000,民事判决书,一审,2016年8月
Q00010,被告,江苏省苏州工业园区人民法院,担保追偿权纠纷,2165000,民事判决书,一审,2016年8月
Q00010,被执行人,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,0,执行裁定书,执行程序,2016年7月
Q00010,被执行人,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,0,执行裁定书,执行程序,2016年6月
Q00010,被申请人,江苏省苏州市中级人民法院,借款合同纠纷,0,民事裁定书,一审,2016年6月
Q00010,被告,江苏省苏州工业园区人民法院,担保追偿权纠纷,10335000,民事判决书,一审,2016年4月
Q00010,被告,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,34712000,民事判决书,一审,2016年4月
Q00010,被执行人,江苏省苏州工业园区人民法院,金融借款合同纠纷,0,执行裁定书,执行程序,2016年4月
Q00010,被告,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,38774000,民事判决书,一审,2016年2月
Q00010,被执行人,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,0,执行裁定书,执行程序,2016年2月
Q00010,被告,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,34712000,民事判决书,一审,2016年2月
Q00010,被告,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,4106000,民事判决书,一审,2016年1月
Q00010,被告,江苏省苏州市虎丘区人民法院,保证合同纠纷,15813000,民事判决书,一审,2016年1月
Q00010,被告,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,43508000,民事判决书,一审,2015年12月
Q00010,上诉人,江苏省苏州市中级人民法院,金融借款合同纠纷,0,民事裁定书,二审,2015年12月
Q00010,原审被告,江苏省苏州市中级人民法院,保证合同纠纷,0,民事裁定书,二审,2015年11月
Q00010,被告,江苏省苏州工业园区人民法院,金融借款合同纠纷,4882000,民事判决书,一审,2015年11月
Q00010,被告,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,3075000,民事判决书,一审,2015年7月
Q00010,被执行人,江苏省苏州市吴中区人民法院,借款合同纠纷,0,执行裁定书,执行程序,2015年4月
