小微企业ID,诉讼地位,审理机关,涉案事由,公告类型,日期类别,具体日期
Q00009,当事人,江苏省常熟市人民法院,,裁判文书,送达时间,2016年12月
Q00009,当事人,江苏省常熟市人民法院,,起诉状副本及开庭传票,送达时间,2016年4月
Q00009,当事人,江苏省南通市中级人民法院,,诉状副本及开庭传票,送达时间,2015年8月
Q00009,当事人,江苏省南通市中级人民法院,,诉状副本及开庭传票,送达时间,2015年2月
Q00009,被告,江苏省南通市中级人民法院,,开庭信息,开庭时间,2014年12月
Q00010,当事人,江苏省苏州市吴中区人民法院,,裁判文书,送达时间,2017年2月
Q00010,当事人,江苏省苏州市吴中区人民法院,,起诉状副本及开庭传票,送达时间,2016年9月
Q00010,申请人,江苏省苏州工业园区人民法院,,送达裁判文书,送达时间,2016年8月
Q00010,申请人:被告,江苏省苏州工业园区人民法院,,送达裁判文书,送达时间,2016年8月
Q00010,申请人,江苏省苏州工业园区人民法院,,送达裁判文书,送达时间,2016年5月
Q00010,被告,江苏省苏州工业园区人民法院,,送达信息,送达时间,2016年5月
Q00010,被告,江苏省苏州市虎丘区人民法院,,裁判文书,送达时间,2016年5月
Q00010,当事人,江苏省苏州市相城区人民法院,,起诉状、上诉状副本,送达时间,2016年2月
Q00010,当事人,江苏省苏州工业园区人民法院,,送达信息,送达时间,2015年12月
Q00010,申请人,江苏省苏州工业园区人民法院,,送达裁判文书,送达时间,2015年12月
Q00010,当事人,江苏省苏州市相城区人民法院,,诉状副本及开庭传票,送达时间,2015年9月
Q00010,当事人,江苏省苏州工业园区人民法院,,送达信息,送达时间,2015年7月
Q00010,申请人,江苏省苏州市虎丘区人民法院,,诉状副本及开庭传票,送达时间,2015年2月
Q00010,当事人,江苏省苏州市相城区人民法院,,诉状副本及开庭传票,送达时间,2015年1月
Q00010,被告,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,审理进度,立案时间,2014年12月
Q00010,被告,江苏省苏州市相城区人民法院,金融借款合同纠纷,审理进度,立案时间,2014年11月
Q00011,当事人,江苏省苏州市相城区人民法院,,起诉状副本及开庭传票,送达时间,2016年5月
Q00011,当事人,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2016年5月
Q00011,当事人,江苏省苏州市相城区人民法院,,起诉状副本及开庭传票,送达时间,2015年12月
Q00011,被告,江苏省苏州市相城区人民法院,股东资格确认纠纷,审理进度,立案时间,2015年1月
Q00013,申请人,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2017年10月
