小微企业ID,执法/复议/审判机关,日期类别,具体日期
Q00010,江苏省苏州市相城区人民法院,发布时间,2014年12月
Q00015,苏州市昆山地方税务局第三税务分局,发布时间,2017年5月
Q00016,昆山市环境保护局,发布时间,2018年1月
Q00059,工商所,发布时间,2012年3月
Q00137,苏州市吴中地方税务局稽查局,发布时间,2017年11月
Q00165,,发布时间,2016年4月
Q00179,苏州市昆山地方税务局第一税务分局,发布时间,2017年9月
Q00191,经检队（总队、支队、大队）,发布时间,2007年4月
Q00214,张家港市市场监督管理局东城分局,发布时间,2014年11月
Q00245,经检队（总队、支队、大队）,发布时间,2013年6月
Q00319,经检队（总队、支队、大队）,发布时间,2013年3月
Q00337,江苏省苏州市姑苏区人民法院,,2014年6月
Q00372,苏州市相城区市场监督管理局,发布时间,2016年12月
Q00389,苏州吴中区市场监督管理局,发布时间,2016年8月
Q00398,工商所,发布时间,2013年1月
Q00403,公平交易部门,发布时间,2005年8月
Q00422,工商所,发布时间,2012年8月
Q00435,工商所,发布时间,2012年11月
Q00446,,发布时间,2016年9月
Q00446,江苏省环境保护厅,发布时间,2016年9月
Q00446,江苏省环境保护厅,发布时间,2016年7月
Q00446,,发布时间,2014年12月
Q00446,江苏省环境保护厅,发布时间,2014年12月
Q00468,,发布时间,2015年11月
Q00468,公平交易部门,发布时间,2013年5月
Q00487,注册登记部门,发布时间,2006年8月
Q00505,工商所,发布时间,2012年11月
Q00507,,发布时间,2015年6月
Q00563,工商所,发布时间,2014年1月
Q00568,工商所,发布时间,2009年6月
Q00576,工商所,发布时间,2013年5月
Q00578,经检队（总队、支队、大队）,发布时间,2010年1月
Q00590,工商所,发布时间,2014年5月
Q00596,工商所,发布时间,2010年7月
Q00602,江苏省苏州市吴中区环保局,发布时间,2016年1月
Q00611,江苏省淮安市清河区人民法院,,2012年12月
Q00611,经检队（总队、支队、大队）,发布时间,2012年2月
Q00620,工商所,发布时间,2013年4月
Q00621,苏州工业园区市场监督管理局,发布时间,2017年4月
Q00634,江苏省昆山市人民法院,,2013年11月
Q00668,工商所,发布时间,2011年11月
Q00696,,发布时间,2016年3月
Q00756,江苏省常熟市人民法院,发布时间,2016年9月
Q00810,经检队（总队、支队、大队）,发布时间,2011年6月
Q00827,工商所,发布时间,2007年8月
Q00973,苏州市环境保护局,发布时间,2017年7月
Q00973,江苏省苏州市环保局,发布时间,2017年7月
Q00985,经检队（总队、支队、大队）,发布时间,2013年5月
Q01002,工商所,发布时间,2011年3月
Q01126,经检队（总队、支队、大队）,发布时间,2005年3月
Q01136,苏州市邮政管理局,发布时间,2017年10月
Q01136,苏州市邮政管理局,发布时间,2017年9月
Q01136,苏州市邮政管理局,发布时间,2017年3月
Q01188,,发布时间,2017年6月
Q01200,工商所,发布时间,2007年7月
Q01258,经检队（总队、支队、大队）,发布时间,2008年7月
Q01265,工商所,发布时间,2014年5月
Q01300,苏州市相城区国家税务局,发布时间,2016年2月
Q01307,工商所,发布时间,2012年7月
Q01365,苏州市吴中区市场监督管理局临湖分局,发布时间,2017年7月
Q01368,经检队（总队、支队、大队）,发布时间,2007年8月
Q01506,,发布时间,2016年6月
Q01552,苏州市吴中地方税务局第二税务分局,发布时间,2017年7月
Q01578,工商所,发布时间,2013年7月
Q01578,工商所,发布时间,2013年6月
Q01628,工商所,发布时间,2011年3月
Q01643,工商所,发布时间,2014年5月
Q01706,工商所,发布时间,2013年8月
Q01768,经检队（总队、支队、大队）,发布时间,2013年5月
Q01923,苏州市规划局,发布时间,2016年5月
Q01936,浙江省湖州市长兴县工商行政管理局,发布时间,2006年1月
Q01984,工商所,发布时间,2014年5月
Q02004,,发布时间,2017年12月
Q02004,,发布时间,2017年1月
Q02004,,发布时间,2016年11月
Q02004,江苏省昆山市人民法院,发布时间,2015年11月
Q02046,苏州昆山市环保局,发布时间,2017年3月
Q02104,经检队（总队、支队、大队）,发布时间,2008年7月
Q02184,苏州市吴中地方税务局第二税务分局,发布时间,2017年7月
Q02204,江苏省张家港保税区工商行政管理局,发布时间,2017年5月
Q02245,消费者权益保护部门,发布时间,2008年11月
Q02398,苏州市吴中地方税务局第六税务分局,发布时间,2017年11月
Q02424,浙江省湖州市长兴县工商行政管理局,发布时间,2006年1月
Q02432,苏州市相城区市场监督管理局,发布时间,2015年11月
Q02432,工商所,发布时间,2015年5月
Q02473,太仓市市场监督管理局城厢分局,发布时间,2014年11月
Q02473,工商所,发布时间,2014年10月
Q02611,苏州市邮政管理局,发布时间,2017年10月
Q02633,经检队（总队、支队、大队）,发布时间,2013年6月
Q02652,,发布时间,2017年5月
Q02666,昆山市环境保护局,发布时间,2018年1月
Q02697,工商所,发布时间,2012年7月
Q02717,张家港市市场监督管理局大新分局,发布时间,2017年2月
Q02729,昆山市文化广电新闻出版局,发布时间,2016年4月
Q02819,苏州昆山市环保局,发布时间,2017年1月
Q02828,经检队（总队、支队、大队）,发布时间,2013年6月
Q02841,工商所,发布时间,2012年9月
Q02853,经检队（总队、支队、大队）,发布时间,2013年5月
Q02887,经检队（总队、支队、大队）,发布时间,2011年6月
Q02946,工商所,发布时间,2011年9月
Q02973,,发布时间,2016年5月
Q02982,,发布时间,2006年2月
Q03020,江苏省张家港市人民法院,,2013年5月
Q03067,工商所,发布时间,2012年3月
Q03088,苏州昆山市环保局,发布时间,2017年4月
Q03093,工商所,发布时间,2013年3月
Q03098,,发布时间,2017年12月
Q03098,,发布时间,2017年1月
Q03186,苏州市相城区国家税务局,发布时间,2016年5月
Q03248,苏州工业园区市场监督管理局,发布时间,2017年11月
Q03277,太仓市市场监督管理局双凤分局,发布时间,2018年4月
Q03331,苏州工业园区市场监督管理局,发布时间,2016年12月
Q03373,昆山市市场监督管理局高新区分局,发布时间,2017年11月
Q03454,苏州昆山市住建局,发布时间,2017年1月
Q03466,江苏省张家港市人民法院,,2017年4月
Q03466,,发布时间,2016年7月
Q03535,经检队（总队、支队、大队）,发布时间,2007年7月
Q03537,苏州市吴中区市场监督管理局胥口分局,发布时间,2017年3月
Q03539,江苏省张家港市人民法院,,2016年6月
Q03559,工商所,发布时间,2012年9月
Q03665,苏州市相城区市场监督管理局,发布时间,2018年3月
Q03668,常熟市规划局,发布时间,2016年8月
Q03668,经检队（总队、支队、大队）,发布时间,2015年6月
Q03802,江苏省张家港市人民法院,,2016年4月
Q03831,工商所,发布时间,2014年4月
Q03847,工商所,发布时间,2013年9月
Q03866,苏州市吴中区市场监督管理局开发区分局,发布时间,2017年4月
Q03910,苏州工业园区市场监督管理局中心分局,发布时间,2014年12月
Q03910,工商所,发布时间,2014年8月
Q03910,工商所,发布时间,2014年5月
Q03981,工商所,发布时间,2013年6月
Q04012,工商所,发布时间,2013年9月
Q04143,江苏省张家港市人民法院,,2013年3月
Q04165,太仓市市场监督管理局,发布时间,2017年11月
Q04165,工商所,发布时间,2012年7月
Q04191,工商所,发布时间,2012年6月
Q04282,苏州市吴中区市场监督管理局,发布时间,2017年5月
Q04301,工商所,发布时间,2005年3月
Q04319,工商所,发布时间,2008年10月
Q04344,,发布时间,2017年10月
Q04355,工商所,发布时间,2010年7月
Q04367,工商所,发布时间,2013年6月
Q04395,苏州市相城地方税务局第二税务分局,发布时间,2017年4月
Q04502,苏州市食品药品监督管理局,发布时间,2018年1月
Q04599,工商所,发布时间,2012年11月
Q04633,公平交易部门,发布时间,2005年8月
Q04685,工商所,发布时间,2011年6月
Q04717,经检队（总队、支队、大队）,发布时间,2013年10月
Q04805,工商所,发布时间,2014年1月
Q04815,公平交易部门,发布时间,2013年2月
Q04828,昆山市市场监督管理局千灯分局,发布时间,2014年11月
Q04828,工商所,发布时间,2014年10月
Q04854,大连市工商行政管理局消费者权益保护分局,发布时间,2014年5月
Q04984,昆山市环境保护局,发布时间,2017年8月
Q05144,处罚机关名称：苏州吴中区市场监督管理局,发布时间,2017年4月
Q05152,深圳市国家税务局,发布时间,2015年6月
Q05152,马桥工商所,发布时间,2012年6月
Q05181,工商所,发布时间,2015年10月
Q05181,工商所,发布时间,2013年10月
Q05208,工商所,发布时间,2011年8月
Q05250,太仓市市场监督管理局双凤分局,发布时间,2017年11月
Q05256,昆山市市场监督管理局周庄分局,发布时间,2017年4月
Q05264,工商所,发布时间,2011年6月
Q05284,经检队（总队、支队、大队）,发布时间,2013年5月
Q05339,工商所,发布时间,2013年3月
Q05380,工商所,发布时间,2014年4月
Q05380,工商所,发布时间,2013年9月
Q05380,工商所,发布时间,2010年6月
Q05380,工商所,发布时间,2009年4月
Q05444,工商所,发布时间,2015年1月
