小微企业ID,主管税务机关,认定日期
Q00056,,2017年11月
Q00056,昆山地税局,2017年11月
Q00139,吴中地税局,2017年10月
Q00212,,2011年10月
Q00255,,2018年2月
Q00255,昆山市地方税务局,2015年4月
Q00255,苏州市地方税务局,2015年3月
Q00301,苏州市国家税务局,2018年4月
Q00302,,2018年3月
Q00304,,2018年3月
Q00356,昆山市地方税务局,2015年3月
Q00356,苏州市地方税务局,2015年2月
Q00497,,2017年11月
Q00497,昆山地税局,2017年11月
Q00545,,2017年11月
Q00545,昆山地税局,2017年11月
Q00689,,2018年1月
Q00756,常熟地税局,2017年7月
Q00787,苏州市地方税务局,2014年3月
Q00802,太仓市国家税务局,2017年2月
Q00802,太仓市地方税务局,2016年10月
Q00898,苏州市地方税务局,2014年8月
Q00945,,2017年7月
Q01016,苏州市地方税务局吴江区分局,2015年12月
Q01018,昆山地税局,2017年9月
Q01023,苏州市地方税务局吴中区分局,2016年5月
Q01136,苏州市地方税务局,2016年6月
Q01169,苏州市地方税务局相城区分局,2016年2月
Q01192,,2017年10月
Q01259,,2017年10月
Q01548,,2017年12月
Q01552,吴中地税局,2017年7月
Q01629,吴中地税局,2017年11月
Q01727,,2018年3月
Q01760,太仓地税局,2017年9月
Q01803,,2016年6月
Q01834,昆山地税局,2017年11月
Q01987,,2017年11月
Q01987,,2016年6月
Q01987,昆山市地方税务局,2016年5月
Q02003,,2016年6月
Q02022,相城地税局,2017年4月
Q02034,,2017年12月
Q02040,苏州市国家税务局,2017年10月
Q02040,相城地税局,2017年10月
Q02184,吴中地税局,2017年7月
Q02268,吴中地税局,2017年1月
Q02293,苏州市地方税务局,2013年4月
Q02316,苏州市地方税务局,2014年5月
Q02398,苏州市地方税务局,2013年5月
Q02415,相城地税局,2017年4月
Q02485,,2017年12月
Q02498,苏州地税局第四税务分局,2017年10月
Q02521,苏州市国家税务局,2018年1月
Q02621,,2017年9月
Q02621,昆山地税局,2017年6月
Q02630,吴中地税局,2017年10月
Q02632,昆山市地方税务局,2016年4月
Q02656,苏州市地方税务局吴中区分局,2015年10月
Q02656,苏州市地方税务局,2015年10月
Q02662,昆山市地方税务局,2015年5月
Q02662,苏州市地方税务局,2015年5月
Q02662,苏州市地方税务局,2015年4月
Q02662,苏州市地方税务局,2014年3月
Q02770,常熟地税局,2017年11月
Q02770,,2017年9月
Q02771,,2017年11月
Q02771,昆山地税局,2017年11月
Q02775,苏州工业园区地方税务局,2016年5月
Q02824,苏州市国家税务局,2018年3月
Q02839,,2012年4月
Q03006,常熟地税局,2017年11月
Q03006,,2017年9月
Q03183,吴中地税局,2017年10月
Q03240,,2017年11月
Q03240,昆山地税局,2017年10月
Q03241,常熟地税局,2017年10月
Q03241,,2017年9月
Q03333,苏州市国家税务局,2015年9月
Q03333,苏州市地方税务局相城区分局,2015年9月
Q03333,苏州市地方税务局,2015年9月
Q03359,苏州市地方税务局,2016年5月
Q03359,苏州市地方税务局,2016年1月
Q03360,苏州市国家税务局,2014年1月
Q03362,吴中地税局,2017年7月
Q03743,昆山市地方税务局,2015年6月
Q03743,苏州市地方税务局,2015年6月
Q03746,苏州市地方税务局,2013年6月
Q03747,,2017年12月
Q03748,苏州市国家税务局,2017年12月
Q03749,,2017年11月
Q03774,相城地税局,2017年5月
Q03802,吴中地税局,2017年10月
Q03972,吴中地税局,2017年10月
Q04007,,2018年3月
Q04016,太仓地税局,2017年8月
Q04167,苏州地税局第四税务分局,2017年10月
Q04243,,2017年11月
Q04243,昆山地税局,2017年11月
Q04248,,2018年3月
Q04415,苏州市地方税务局,2013年9月
Q04459,昆山地税局,2017年11月
Q04495,,2016年6月
Q04496,,2017年11月
Q04496,昆山地税局,2017年11月
Q04536,江宁地税局,2016年10月
Q04743,苏州市国家税务局,2018年1月
Q04785,,2011年9月
Q04871,苏州市地方税务局,2016年10月
Q04889,昆山市地方税务局,2016年2月
Q04954,苏州市国家税务局,2017年10月
Q04954,张家港地税局,2017年8月
Q04972,吴中地税局,2017年10月
Q05238,,2018年2月
Q05272,,2016年3月
Q05272,,2015年12月
Q05300,吴中地税局,2017年10月
Q05340,吴中地税局,2017年10月
Q05442,苏州市地方税务局,2013年6月
Q05483,苏州地税局第四税务分局,2017年6月
Q05496,太仓市国家税务局,2016年1月
Q05496,,2012年4月
Q05620,苏州市地方税务局,2014年7月
Q05744,,2017年11月
Q05751,,2016年6月
Q05753,苏州市国家税务局,2018年3月
Q05952,,2017年12月
Q06093,,2017年12月
Q06214,相城地税局,2016年12月
Q06221,苏州市地方税务局吴中区分局,2015年6月
Q06221,苏州市地方税务局,2015年6月
Q06221,苏州市地方税务局,2015年5月
Q06221,苏州市地方税务局,2014年3月
Q06243,,2018年2月
Q06386,苏州市地方税务局相城区分局,2016年4月
Q06462,昆山市地方税务局,2016年6月
Q06495,,2016年6月
Q06496,,2017年12月
Q06695,苏州市国家税务局,2018年3月
Q06707,,2018年3月
Q06714,昆山市地方税务局,2015年10月
Q06714,苏州市地方税务局,2015年10月
Q06732,,2017年11月
Q06732,昆山地税局,2017年11月
Q06980,,2017年12月
Q06980,常熟地税局,2017年10月
Q07038,相城地税局,2017年11月
Q07195,苏州市地方税务局,2013年9月
Q07198,昆山地税局,2017年8月
Q07205,太仓地税局,2017年10月
Q07207,,2017年11月
Q07207,昆山地税局,2017年11月
Q07240,,2018年2月
Q07437,,2018年1月
Q07456,常熟地税局,2017年11月
Q07922,昆山地税局,2017年9月
Q07966,太仓市国家税务局,2016年6月
Q07966,,2012年4月
Q08085,相城地税局,2016年12月
Q08173,苏州地税局第四税务分局,2017年11月
Q08211,,2017年12月
Q08211,昆山地税局,2017年10月
Q08212,昆山地税局,2017年9月
Q08212,,2017年8月
Q08433,苏州市地方税务局吴中区分局,2015年5月
Q08437,相城地税局,2017年4月
Q08438,苏州市地方税务局,2014年5月
Q08458,苏州市国家税务局,2018年1月
Q08596,苏州市国家税务局,2018年3月
Q08615,相城地税局,2016年12月
Q08620,苏州市地方税务局吴中区分局,2015年9月
Q08620,苏州市地方税务局,2015年9月
Q08670,苏州市国家税务局,2018年3月
Q08700,,2018年3月
Q08701,苏州市国家税务局,2018年3月
Q08771,太仓地税局,2017年10月
Q08827,常熟市地方税务局,2015年8月
Q08827,苏州市地方税务局,2015年8月
Q08832,吴中地税局,2017年7月
Q08946,苏州市国家税务局,2018年4月
Q09046,,2012年6月
Q09100,常熟地税局,2017年11月
Q09116,昆山市地方税务局,2015年9月
Q09116,苏州市地方税务局,2015年9月
Q09179,,2017年11月
Q09260,,2017年12月
Q09308,天津市北辰区国家税务局,2014年4月
Q09308,天津市北辰区国家税务局,2014年2月
Q09308,天津市北辰区国家税务局,2013年10月
Q09380,苏州市地方税务局相城区分局,2016年4月
Q09395,张家港地税局,2017年8月
Q09432,昆山国税局,2017年10月
Q09432,昆山地税局,2017年10月
Q09485,吴中地税局,2017年7月
Q09491,昆山地税局,2017年4月
Q09587,,2018年3月
Q09679,,2017年12月
Q09679,昆山地税局,2017年11月
Q09687,,2017年11月
Q09696,,2018年2月
Q09701,苏州市国家税务局,2017年12月
Q09701,太仓地税局,2017年7月
Q09884,,2017年12月
Q09897,张家港地税局,2017年10月
Q09965,太仓地税局,2017年10月
Q10163,太仓地税局,2017年10月
Q10166,,2017年10月
Q10341,张家港地税局,2017年10月
Q10368,,2018年2月
Q10403,,2018年1月
Q10412,,2017年8月
Q10421,,2018年2月
Q10506,苏州市地方税务局吴中区分局,2015年10月
Q10506,苏州市地方税务局,2015年10月
Q10620,苏州市国家税务局,2018年2月
Q10620,太仓地税局,2017年10月
Q10622,,2017年7月
Q10827,,2018年2月
Q10867,,2018年3月
Q10958,昆山市地方税务局,2015年7月
Q10958,苏州市地方税务局,2015年7月
Q11009,相城地税局,2017年10月
Q11113,苏州市地方税务局吴中区分局,2016年1月
Q11123,,2018年2月
Q11162,吴中地税局,2017年2月
Q11269,昆山市地方税务局,2015年5月
Q11269,苏州市地方税务局,2015年5月
Q11387,,2018年2月
Q11448,苏州市地方税务局吴中区分局,2015年5月
Q11517,苏州市地方税务局,2016年7月
Q11526,常熟市地方税务局,2016年8月
Q11534,,2017年12月
Q11615,昆山地税局,2017年9月
Q11615,,2017年8月
Q11629,昆山市地方税务局,2016年1月
Q11658,,2017年9月
Q11658,昆山地税局,2017年9月
Q11722,苏州市地方税务局,2016年3月
Q11831,苏州市地方税务局相城区分局,2016年4月
Q11939,吴中地税局,2017年10月
Q12191,北京市地方税务局,2013年12月
Q12219,苏州市地方税务局,2013年11月
Q12222,太仓市地方税务局,2015年7月
Q12222,苏州市地方税务局,2015年7月
Q12222,苏州市地方税务局,2015年6月
Q12322,苏州市国家税务局,2018年3月
Q12498,,2012年3月
Q12503,苏州市地方税务局,2015年8月
Q12577,昆山市地方税务局,2016年4月
Q12637,,2018年3月
Q12644,,2017年10月
Q12644,常熟地税局,2017年9月
Q12645,常熟地税局,2017年11月
Q12645,,2017年9月
Q12647,昆山国税局,2017年10月
Q12778,昆山市地方税务局,2015年8月
Q12778,苏州市地方税务局,2015年8月
Q12808,,2012年5月
Q12835,苏州市地方税务局,2015年9月
Q12877,吴中地税局,2017年11月
Q12899,吴中地税局,2016年12月
Q19807,相城地税局,2016年12月
Q20040,苏州市地方税务局,2016年8月
Q31751,上海市杨浦区国家税务局,2013年3月
Q31751,,2013年3月
Q40874,苏州市地方税务局吴江区分局,2016年8月
Q48210,苏州市地方税务局,2015年11月
Q54068,,2016年4月
Q54068,上海市青浦区国家税务局,2016年3月
Q54068,上海市徐汇区国家税务局,2016年3月
Q62993,苏州工业园区地税局,2017年10月
Q62993,,2017年10月
Q63327,昆山地税局,2017年10月
Q63328,,2018年2月
Q63341,常熟地税局,2017年7月
Q63490,,2012年4月
Q63557,苏州市地方税务局,2012年6月
Q63557,,2012年6月
Q63563,苏州市地方税务局相城区分局,2016年7月
Q63593,长沙市天心区国家税务局城南路税务分局,2018年2月
Q63617,苏州市国家税务局,2018年4月
Q63666,苏州市国家税务局,2017年5月
Q63709,苏州地税局第四税务分局,2017年6月
Q63878,,2018年1月
Q63951,苏州市地方税务局,2015年8月
Q64098,,2017年11月
Q64133,,2018年3月
Q64134,,2018年2月
Q64288,吴中地税局,2017年7月
Q64346,,2017年8月
Q64355,苏州地税局第四税务分局,2017年10月
Q64363,,2017年9月
Q64440,相城地税局,2017年4月
Q64622,深圳市国家税务局,2016年12月
Q64622,深圳市国家税务局,2016年9月
Q64845,,2018年1月
Q65011,太仓地税局,2017年8月
Q65085,苏州市国家税务局,2018年3月
Q65199,吴中地税局,2017年11月
Q65276,苏州工业园区地税局,2017年10月
Q65276,,2017年8月
Q65303,苏州市国家税务局,2018年2月
Q65328,昆山市地方税务局,2016年7月
