小微企业ID,执行法院,执行内容,日期类别,具体日期
Q00126,上海市松江区人民法院,执行标的金额（元）:627154,立案时间,2017/8/30
Q00301,,执行标的金额（元）:32675,立案时间,2007/6/1
Q00505,江苏省张家港市人民法院,,立案时间,2017/7/6
Q00768,江苏省张家港市人民法院,,立案时间,2017/11/7
Q01598,上海市闵行区人民法院,执行标的金额:417577.35,立案时间,2014/12/22
Q01925,江苏省苏州市吴江区人民法院,,立案时间,2017/2/14
Q02262,江苏省常州市武进区人民法院,,立案时间,2017/6/7
Q02268,江苏省苏州市吴中区人民法院,,立案时间,2017/5/25
Q02498,江苏省苏州市虎丘区人民法院,,立案时间,2017/12/25
Q02501,上海市宝山区人民法院,执行标的金额（元）:923415,立案时间,2017/11/9
Q02668,江苏省苏州市吴中区人民法院,,立案时间,2017/10/30
Q02770,江苏省张家港市人民法院,,立案时间,2017/9/8
Q03154,江苏省丹阳市人民法院,,立案时间,2017/7/17
Q03219,上海市松江区人民法院,执行标的金额:260928.4,立案时间,2015/7/24
Q04219,江苏省苏州工业园区人民法院,,立案时间,2018/2/7
Q05308,江苏省苏州工业园区人民法院,,立案时间,2017/11/10
Q05308,江苏省苏州工业园区人民法院,,立案时间,2017/8/8
Q05316,上海市青浦区人民法院,执行标的金额:91225,立案时间,2013/7/10
Q05724,安徽省蚌埠市禹会区人民法院,,立案时间,2017/8/1
Q05973,,执行标的金额（元）:408051,立案时间,2014/6/1
Q06008,江苏省苏州工业园区人民法院,,立案时间,2017/7/6
Q06332,上海市嘉定区人民法院,执行标的金额（元）:137386.95,立案时间,2018/6/1
Q07180,江苏省苏州市相城区人民法院,,立案时间,2017/2/16
Q07922,上海市长宁区人民法院,执行标的金额（元）:344348,立案时间,2017/8/30
Q08679,江苏省常州市天宁区人民法院,,立案时间,2018/1/17
Q08828,重庆市合川区人民法院,,立案时间,2017/8/29
Q09136,江苏省张家港市人民法院,,立案时间,2017/8/16
Q09423,江苏省太仓市人民法院,,立案时间,2017/7/27
Q09472,上海市奉贤区人民法院,执行标的金额（元）:104221,立案时间,2016/6/1
Q10163,江苏省苏州工业园区人民法院,,立案时间,2017/9/20
Q10385,江苏省昆山市人民法院,,立案时间,2017/8/29
Q10795,上海市奉贤区人民法院,执行标的金额:149385,立案时间,2013/12/4
Q11362,江苏省苏州市相城区人民法院,,立案时间,2017/1/18
Q11362,江苏省苏州市相城区人民法院,,立案时间,2017/1/4
Q11364,江苏省苏州市相城区人民法院,,立案时间,2017/2/17
Q11970,江苏省苏州市虎丘区人民法院,,立案时间,2017/11/27
Q12667,江苏省昆山市人民法院,,立案时间,2017/1/20
Q63355,江苏省苏州工业园区人民法院,,立案时间,2017/9/5
Q63891,江苏省张家港市人民法院,,立案时间,2017/8/1
Q63891,江苏省张家港市人民法院,,立案时间,2017/7/14
Q63921,江苏省昆山市人民法院,,立案时间,2017/2/23
