小微企业ID,主管税务机关,所欠税种,欠税属期,欠税余额(元),具体日期
Q00010,苏州市国家税务局,增值税,,0,Oct-17
Q00010,苏州市国家税务局,增值税,,0,Aug-17
Q00010,苏州市地方税务局,10112|城镇土地使用税,2016/4/1,10000,Jan-16
Q00016,江苏省昆山市国家税务局,增值税,,15000,Jul-17
Q00016,江苏省昆山市国家税务局,个人所得税,,0,Jul-17
Q00016,江苏省昆山市国家税务局,城市维护建设税,,1000,Jul-17
Q00016,江苏省昆山市国家税务局,印花税,,0,Jul-17
Q00016,江苏省昆山市国家税务局,城镇土地使用税,,10000,Jul-17
Q00016,江苏省昆山市国家税务局,企业所得税,,6000,Jul-17
Q00019,,印花税,,0,Jan-12
Q00019,,,,37000,Jul-11
Q00021,张家港保税区国家税务局,增值税,,8000,Jan-18
Q00037,苏州市国家税务局,增值税,,0,Aug-17
Q00037,苏州市国家税务局,增值税,,1000,Oct-16
Q00037,苏州市地方税务局,城市维护建设税,,0,Apr-16
Q00037,江苏省苏州地方税务局,城市维护建设税,,0,Apr-16
Q00038,江苏省太仓市国家税务局,增值税,,0,Sep-16
Q00047,昆山市国家税务局,增值税,,3000,Jan-17
Q00049,,增值税,,0,Jul-16
Q00051,,印花税,,0,Apr-18
Q00051,,印花税,,0,Jan-18
Q00051,江苏省昆山市地方税务局,印花税,,0,Oct-17
Q00051,江苏省昆山市国家税务局,印花税,,0,Jul-17
Q00051,苏州市昆山地方税务局,印花税,,0,Apr-17
Q00132,,个人所得税,,0,Jan-12
Q00161,江苏省昆山市国家税务局,企业所得税,,44000,Apr-18
Q00161,江苏省昆山市国家税务局,增值税,,16000,Apr-18
Q00184,江苏省地方税务局,印花税,,0,Aug-11
Q00193,江苏省地方税务局,企业所得税,,11000,Apr-12
Q00208,苏州市地方税务局吴中区分局,城市维护建设税,,1000,Jul-12
Q00229,苏州市地方税务局,印花税,,0,Jul-14
Q00229,苏州市地方税务局,个人所得税,,0,Jul-14
Q00255,江苏省昆山市国家税务局,增值税,,68000,Oct-17
Q00255,江苏省昆山市国家税务局,企业所得税,,16000,Oct-17
Q00255,江苏省昆山市国家税务局,企业所得税,,16000,Jul-17
Q00255,江苏省昆山市国家税务局,增值税,,68000,Jul-17
Q00255,江苏省昆山市国家税务局,增值税,,68000,Apr-17
Q00255,昆山市国家税务局,增值税,,1000,Jan-17
Q00255,江苏省地方税务局,教育费附加,,0,Dec-16
Q00255,江苏省地方税务局,城市维护建设税,,1000,Dec-16
Q00255,江苏省地方税务局,地方教育附加,,0,Dec-16
Q00255,苏州市昆山地方税务局,城市维护建设税,,1000,Jun-16
Q00255,江苏省地税局,城市维护建设税,,1000,Mar-16
Q00255,苏州市昆山地方税务局,城市维护建设税,,1000,Dec-15
Q00255,江苏省地税局,城市维护建设税,,1000,Dec-15
Q00255,苏州市昆山地方税务局,城市维护建设税,,1000,Sep-15
Q00255,江苏省地方税务局,城市维护建设税,,1000,Sep-15
